vf_precinct_id,vf_precinct_county,vf_precinct_ward,vf_precinct_name,vf_precinct_code,vf_precinct_count
22887,SHOSHONE,,Shoshone - 07,7,55
22804,IDAHO,,Pollock,21,213
2265,LATAH,,Moscow 02,02MOS,565
22772,MADISON,,Madison - 001,1,161
22545,KOOTENAI,,Kootenai - 59,59,402
22751,FRANKLIN,,Preston 5,5,239
22422,POWER,,Power - 006,6,188
22849,KOOTENAI,,Kootenai - 63,63,547
22598,WASHINGTON,,Weiser,4,316
22443,ADA,,Ada - 2116,2116,627
22611,ADA,,Ada - 2106,2106,913
22781,FREMONT,,Fremont - 012,12,208
22147,GEM,,03 Butteview,03-BV,460
22608,WASHINGTON,,Midvale,7,255
22334,BANNOCK,,Chubbuck 51,51,465
22678,NEZ PERCE,,Nez Perce - 12,12,240
22399,LATAH,,Moscow 08,08MOS,139
22890,BEAR LAKE,,Bennington,5,84
22178,CANYON,,Canyon - 12,12,832
22223,GEM,,06 Emerson,06-EM,512
22869,CASSIA,,Almo,109,60
22827,VALLEY,,Yellow Pine,8,39
22833,CLEARWATER,,Orofino 4,4,230
22310,BONNEVILLE,,Bonneville - 26,26,459
22312,BANNOCK,,Pocatello 21,21,387
22871,SHOSHONE,,Shoshone - 10,10,432
22784,JEFFERSON,,Hamer,5,138
22247,GOODING,,3 Gooding Rural,P3,788
22452,BANNOCK,,Chubbuck 59,59,298
22837,SHOSHONE,,Shoshone - 05,5,571
22350,TWIN FALLS,,Kimberly 1,KI001,405
22513,BLAINE,,Blaine - 002,2,620
22879,IDAHO,,Stites,24,186
22807,CUSTER,,Custer - 003,3,308
22916,SHOSHONE,,Shoshone - 12,12,24
22529,BINGHAM,,Jamestown 10,10,389
22169,LATAH,,Moscow 14,14MOS,498
22471,CASSIA,,Burley 6,106,481
2262,ADA,,Ada - 1918,1918,1082
22901,BENEWAH,,Tensed,10,243
22372,MADISON,,Madison - 014,14,314
22861,KOOTENAI,,Kootenai - 24,24,449
2275,BANNOCK,,Pocatello 32,32,238
22705,OWYHEE,,S Marsing,4,364
22398,ADA,,Ada - 1816,1816,517
22114,LEMHI,,Salmon,1,720
22136,BINGHAM,,Blackfoot 2,2,308
22832,BUTTE,,Howe,4,98
22245,TWIN FALLS,,Twin Falls 19,TF019,376
22686,OWYHEE,,N Marsing,3,362
22362,BANNOCK,,Chubbuck 52,52,316
22531,ADA,,Ada - 1408,1408,800
22278,ADA,,Ada - 2207,2207,764
22406,CLEARWATER,,Weippe,9,316
22904,BEAR LAKE,,Fish Haven,9,105
22823,BLAINE,,Blaine - 014,14,263
22585,KOOTENAI,,Kootenai - 36,36,369
22763,WASHINGTON,,Sunnyside,10,247
22462,NEZ PERCE,,Nez Perce - 08,8,510
22726,CAMAS,,Camas - 02,2,248
22295,LATAH,,Moscow 09,09MOS,393
22829,NEZ PERCE,,Nez Perce - 29,29,138
22446,MADISON,,Madison - 018,18,356
22845,LINCOLN,,6 Kimama,6,13
22553,WASHINGTON,,Cambridge,8,312
22488,JEROME,,Falls City,4,266
22330,TWIN FALLS,,Filer 1,FI001,503
22613,BONNER,,Edgemere,EDGM,581
22558,BLAINE,,Blaine - 004,4,685
22393,BANNOCK,,Chubbuck 50,50,482
22718,LINCOLN,,5 Dietrich,5,181
22670,CANYON,,Canyon - 33,33,381
22304,BANNOCK,,Pocatello 04,4,556
22760,JEFFERSON,,Garfield,3,694
22176,ADA,,Ada - 2104,2104,750
22251,ADA,,Ada - 1406,1406,768
22358,BANNOCK,,Pocatello 19,19,278
22253,ADA,,Ada - 1403,1403,227
22631,KOOTENAI,,Kootenai - 55,55,479
