precinct_id,county,precinct_name,precinct_number,ward,polling_location_ids,source,INTERNAL_notes
330110020,BINGHAM,20,20,,440110012,Idaho Elections Division,
330110021,BINGHAM,13,13,,440110013,Idaho Elections Division,
330110022,BINGHAM,21,21,,440110013,Idaho Elections Division,
330110023,BINGHAM,10,10,,440110014,Idaho Elections Division,
330110024,BINGHAM,14,14,,440110014,Idaho Elections Division,
330110025,BINGHAM,16,16,,440110015,Idaho Elections Division,
330130001,BLAINE,12,12,,440130001,Idaho Elections Division,
330130002,BLAINE,13,13,,440130001,Idaho Elections Division,
330130003,BLAINE,14,14,,440130002,Idaho Elections Division,
330130004,BLAINE,17,17,,440130003,Idaho Elections Division,
330130005,BLAINE,5,5,,440130004,Idaho Elections Division,
330130006,BLAINE,6,6,,440130004,Idaho Elections Division,
330130007,BLAINE,7,7,,440130004,Idaho Elections Division,
330130008,BLAINE,8,8,,440130004,Idaho Elections Division,
330130009,BLAINE,9,9,,440130004,Idaho Elections Division,
330130010,BLAINE,10,10,,440130004,Idaho Elections Division,
330130011,BLAINE,11,11,,440130004,Idaho Elections Division,
330130012,BLAINE,1,1,,440130005,Idaho Elections Division,
330130013,BLAINE,3,3,,440130005,Idaho Elections Division,
330130014,BLAINE,4,4,,440130005,Idaho Elections Division,
330130015,BLAINE,15,15,,440130006,Idaho Elections Division,
330130016,BLAINE,16,16,,440130007,Idaho Elections Division,
330130017,BLAINE,2,2,,440130008,Idaho Elections Division,
330150001,BOISE,70,70,,440150001,Idaho Elections Division,
330150002,BOISE,80,80,,440150002,Idaho Elections Division,
330150003,BOISE,30,30,,440150003,Idaho Elections Division,
330150004,BOISE,40,40,,440150004,Idaho Elections Division,
330150005,BOISE,90,90,,440150005,Idaho Elections Division,
330150006,BOISE,50,50,,440150006,Idaho Elections Division,
330150007,BOISE,60,60,,440150007,Idaho Elections Division,
330170001,BONNER,SPVY,SPVY,,440170001,Idaho Elections Division,
330170002,BONNER,LAKV,LAKV,,440170002,Idaho Elections Division,
330170003,BONNER,CKFK,CKFK,,440170003,Idaho Elections Division,
330170004,BONNER,KELS,KELS,,440170004,Idaho Elections Division,
330170005,BONNER,CARW,CARW,,440170005,Idaho Elections Division,
